x, y
-0.07593363791409188, 6.1284308100178615
0.967313899997723, 6.225456228115531
1.9785095245595996, 6.7440235510255135
3.025485532757549, 6.8007160549533285
4.015334048542453, 7.116394027896155
5.140907503483201, 6.311200313017826
5.996470743783439, 5.433268420788842
6.974530396871721, 4.991889699121862
7.967564276288363, 4.4728832302833235
9.002451851055717, 3.3613509746077344
9.955795840998686, 2.3135296957693035
10.997541214870365, 1.710284704988139
12.111871068954024, 1.424190679183823
13.019751428442653, 1.441521781034371
14.035153974390965, 1.266712499949108
15.069866979162265, 1.4555306484688786
15.986105146610218, 1.7805783782121847
17.068913262887516, 2.303031749492518
17.963203024905415, 2.6631168101495497
18.879803263456296, 3.2661427895341193
19.852149520747734, 3.8458210309062983
20.805133594772908, 4.4355625651681745
22.005817406905607, 5.137619320848467
22.9936809971798, 5.547063934621167